Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
clay-plant-pot,Clay Plant Pot,<p>Classic blown clay pot for plants</p>,Company 123,Outdoor,"Pot, Plants",True,Size,Regular,,,,,,0,,1,deny,manual,9.99,,True,True,,https://burst.shopifycdn.com/photos/single-sprout-in-a-pot_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
clay-plant-pot,,,,,,,,Large,,,,,,0,,3,deny,manual,15.99,,True,True,,https://burst.shopifycdn.com/photos/pot-with-a-single-sprout_925x.jpg,2.0,,,,,,,,,,,,,,,,,,,kg,,
white-ceramic-pot,White Ceramic Pot,<p>Homemade white ceramic flower pot</p>,Rustic LTD,Indoor,"Pot, Plants",True,Title,Default Title,,,,,,0,,1,deny,manual,15.99,30.0,True,True,,https://burst.shopifycdn.com/photos/house-plant-in-white-pot_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
yellow-watering-can,Yellow watering can,<p>Vintage vibrant watering can</p>,Rustic LTD,Outdoor,Plants,True,Title,Default Title,,,,,,0,,4,deny,manual,40.99,50.0,True,True,,https://burst.shopifycdn.com/photos/flowers-in-yellow-watering-can_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
gardening-hand-trowel,Gardening hand trowel,<p>Metal gardening hand trowel with wooden handle</p>,Rustic LTD,Outdoor,Plants,True,Title,Default Title,,,,,,0,,2,deny,manual,10.99,25.0,True,True,,https://burst.shopifycdn.com/photos/spring-gardening-set-up_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
biodegradable-cardboard-pots,Biodegradable cardboard pots,<p>Biodegradable outdoor cardboard pots</p>,Rustic LTD,Outdoor,"Garden, Plants",True,Title,Default Title,,,,,,0,shopify,8,deny,manual,10.0,,True,True,,https://burst.shopifycdn.com/photos/potted-seeds_925x.jpg,,,False,,,,,,,,,,,,,,,,,kg,,
vanilla-candle,Vanilla candle,<p>Vanilla scent candle in jar</p>,Home Sweet Home,Indoor,Candle,True,Title,Default Title,,,,,,0,,5,deny,manual,15.99,30.0,True,True,,https://burst.shopifycdn.com/photos/diy-organic-candle_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
terracotta-planter-set,Terracotta Planter Set,<p>Set of 3 rustic terracotta planters</p>,Kiln Goods,Outdoor,"Pot, Plants, Terracotta",True,Title,Default Title,,,,,,0,,10,deny,manual,35.0,,True,True,,https://burst.shopifycdn.com/photos/single-sprout-in-a-pot_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
artisan-ceramic-mug,Artisan Ceramic Mug,<p>Hand-thrown ceramic coffee mug</p>,Kiln Goods,Indoor,"Mug, Ceramic, Kitchen",True,Title,Default Title,,,,,,0,,15,deny,manual,22.0,28.0,True,True,,https://burst.shopifycdn.com/photos/diy-organic-candle_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
speckled-clay-vase,Speckled Clay Vase,<p>Minimalist speckled clay flower vase</p>,Kiln Goods,Indoor,"Vase, Clay, Decor",True,Title,Default Title,,,,,,0,,5,deny,manual,45.0,,True,True,,https://burst.shopifycdn.com/photos/house-plant-in-white-pot_925x.jpg,1.0,,False,,,,,,,,,,,,,,,,,kg,,
